type,oc_year,oc_data,oc_county,oc_region
案類,發生年度,發生日期,發生縣市,發生鄉鎮市區
住宅竊盜,112,0401,新北市,淡水區
住宅竊盜,112,0401,新北市,中和區
住宅竊盜,112,0401,新北市,三峽區
住宅竊盜,112,0401,新竹市,香山區
住宅竊盜,112,0401,新北市,新莊區
住宅竊盜,112,0402,臺東縣,東河鄉
住宅竊盜,112,0402,新北市,中和區
住宅竊盜,112,0402,新北市,三重區
住宅竊盜,112,0402,新北市,五股區
住宅竊盜,112,0403,南投縣,草屯鎮
住宅竊盜,112,0403,新北市,坪林區
住宅竊盜,112,0403,澎湖縣,馬公市
住宅竊盜,112,0404,金門縣,金城鎮
住宅竊盜,112,0404,新竹市,香山區
住宅竊盜,112,0405,新竹市,東區
住宅竊盜,112,0405,新北市,三重區
住宅竊盜,112,0405,新北市,土城區
住宅竊盜,112,0405,臺北市,士林區
住宅竊盜,112,0405,臺中市,東區
住宅竊盜,112,0405,臺北市,信義區
住宅竊盜,112,0405,臺南市,南區
住宅竊盜,112,0405,新北市,三重區
住宅竊盜,112,0405,新北市,中和區
住宅竊盜,112,0405,南投縣,草屯鎮
住宅竊盜,112,0406,新北市,三重區
住宅竊盜,112,0406,新北市,中和區
住宅竊盜,112,0406,澎湖縣,馬公市
住宅竊盜,112,0406,桃園市,龜山區
住宅竊盜,112,0406,臺南市,北區
住宅竊盜,112,0406,臺中市,梧棲區
住宅竊盜,112,0407,南投縣,埔里鎮
住宅竊盜,112,0407,宜蘭縣,宜蘭市
住宅竊盜,112,0407,新竹縣,竹北市
住宅竊盜,112,0408,臺南市,永康區
住宅竊盜,112,0408,新北市,萬里區
住宅竊盜,112,0408,新北市,中和區
住宅竊盜,112,0408,桃園市,八德區
住宅竊盜,112,0408,新北市,三峽區
住宅竊盜,112,0408,臺北市,士林區
住宅竊盜,112,0409,宜蘭縣,礁溪鄉
住宅竊盜,112,0409,宜蘭縣,宜蘭市
住宅竊盜,112,0409,新北市,永和區
住宅竊盜,112,0410,桃園市,中壢區
住宅竊盜,112,0410,雲林縣,崙背鄉
住宅竊盜,112,0410,新北市,三峽區
住宅竊盜,112,0410,南投縣,草屯鎮
住宅竊盜,112,0411,臺南市,北區
住宅竊盜,112,0411,金門縣,金湖鎮
住宅竊盜,112,0411,新北市,土城區
住宅竊盜,112,0411,新北市,三峽區
住宅竊盜,112,0411,基隆市,暖暖區
住宅竊盜,112,0411,臺南市,中西區
住宅竊盜,112,0411,臺南市,柳營區
住宅竊盜,112,0411,新北市,中和區
住宅竊盜,112,0412,雲林縣,水林鄉
住宅竊盜,112,0412,新北市,三重區
住宅竊盜,112,0412,臺中市,大里區
住宅竊盜,112,0412,臺北市,中正區
住宅竊盜,112,0412,新北市,板橋區
住宅竊盜,112,0412,新北市,永和區
住宅竊盜,112,0412,新竹縣,湖口鄉
住宅竊盜,112,0412,新北市,新莊區
住宅竊盜,112,0412,新北市,板橋區
住宅竊盜,112,0412,新北市,中和區
住宅竊盜,112,0412,金門縣,金城鎮
住宅竊盜,112,0413,苗栗縣,通霄鎮
住宅竊盜,112,0413,新竹縣,竹北市
住宅竊盜,112,0413,新北市,新莊區
住宅竊盜,112,0413,宜蘭縣,頭城鎮
住宅竊盜,112,0413,南投縣,草屯鎮
住宅竊盜,112,0413,花蓮縣,玉里鎮
住宅竊盜,112,0413,屏東縣,佳冬鄉
住宅竊盜,112,0413,新北市,中和區
住宅竊盜,112,0413,新北市,新莊區
住宅竊盜,112,0414,新北市,中和區
住宅竊盜,112,0414,新北市,三重區
住宅竊盜,112,0414,新北市,三峽區
住宅竊盜,112,0414,新北市,鶯歌區
住宅竊盜,112,0414,新北市,中和區
住宅竊盜,112,0414,新北市,中和區
住宅竊盜,112,0415,苗栗縣,南庄鄉
住宅竊盜,112,0415,新北市,樹林區
住宅竊盜,112,0415,新北市,三重區
住宅竊盜,112,0415,新北市,三重區
住宅竊盜,112,0415,宜蘭縣,頭城鎮
住宅竊盜,112,0415,臺北市,士林區
住宅竊盜,112,0415,澎湖縣,馬公市
住宅竊盜,112,0416,新北市,汐止區
住宅竊盜,112,0416,臺中市,北屯區
住宅竊盜,112,0416,臺南市,西港區
住宅竊盜,112,0416,臺北市,松山區
住宅竊盜,112,0416,臺南市,歸仁區
住宅竊盜,112,0416,新北市,五股區
住宅竊盜,112,0416,臺北市,士林區
住宅竊盜,112,0417,臺北市,中山區
住宅竊盜,112,0417,新北市,三峽區
住宅竊盜,112,0417,新北市,中和區
住宅竊盜,112,0417,新北市,新店區
